code	bank	outlets-ratio	accounts-ratio-urban	accounts-ratio-rural	accounts-ratio-male	accounts-ratio-female	accounts-ratio-othergender	accounts-ratio-current	accounts-ratio-saving	accounts-ratio-othertype	deposits-ratio-urban	deposits-ratio-rural	deposits-ratio-male	deposits-ratio-female	deposits-ratio-othergender	deposits-ratio-current	deposits-ratio-saving	deposits-ratio-othertype	lending-ratio-urban	lending-ratio-rural	lending-ratio-male	lending-ratio-female	lending-ratio-othergender	remittance-ratio-urban	remittance-ratio-rural	accounts-per-outlet	accounts-per-outlet-urban	accounts-per-outlet-rural	accounts-per-outlet-male	accounts-per-outlet-female	accounts-per-outlet-othergender	accounts-per-outlet-current	accounts-per-outlet-saving	accounts-per-outlet-othertype	deposits-per-outlet	deposits-per-outlet-urban	deposits-per-outlet-rural	deposits-per-outlet-male	deposits-per-outlet-female	deposits-per-outlet-othergender	deposits-per-outlet-current	deposits-per-outlet-saving	deposits-per-outlet-othertype	lending-per-outlet	lending-per-outlet-urban	lending-per-outlet-rural	lending-per-outlet-male	lending-per-outlet-female	lending-per-outlet-othergender	remittance-per-outlet	remittance-per-outlet-urban	remittance-per-outlet-rural
AB	AB Bank Limited	2.26	28.95%	71.05%	61.46%	38.54%	0.00%	4.54%	75.70%	19.77%	25.93%	74.07%	62.67%	37.33%	0.00%	6.62%	33.66%	59.72%	21.69%	78.31%	55.61%	44.39%	0.00%	25.30%	74.70%	353.74	333.88	362.52	217.41	136.33	0.00	16.04	267.77	69.93	10.97	9.27	11.72	6.88	4.10	0.00	0.73	3.69	6.55	0.09	0.06	0.10	0.05	0.04	0.00	8.28	6.83	8.93
Agrani	Agrani Bank Limited	14.50	4.50%	95.50%	45.98%	54.02%	0.00%	3.00%	90.84%	6.17%	50.87%	49.13%	18.24%	81.76%	0.00%	1.36%	38.12%	60.52%	3.35%	96.65%	68.65%	31.35%	0.00%	2.03%	97.97%	1,406.65	982.14	1,435.93	646.74	759.91	0.00	42.15	1,277.74	86.76	46.59	367.40	24.47	8.50	38.10	0.00	0.63	17.76	28.20	0.75	0.39	0.77	0.51	0.24	0.00	80.09	25.17	83.88
Al-Arafah	Al-Arafah Islami Bank Limited	7.43	10.37%	89.63%	51.03%	47.41%	1.56%	2.51%	81.25%	16.23%	29.86%	70.14%	70.19%	22.93%	6.88%	1.29%	40.55%	58.16%	22.65%	77.35%	61.28%	38.72%	0.00%	7.43%	92.57%	1,110.57	970.80	1,129.38	566.68	526.56	17.33	27.91	902.38	180.28	51.85	130.52	41.26	36.39	11.89	3.57	0.67	21.02	30.15	7.18	13.70	6.30	4.40	2.78	0.00	95.04	59.49	99.82
BankAsia	Bank Asia Limited	9.86	8.24%	91.76%	35.42%	63.38%	1.20%	2.36%	93.36%	4.28%	15.53%	84.47%	43.43%	30.83%	25.74%	5.39%	55.84%	38.77%	13.92%	86.08%	27.92%	8.16%	63.92%	6.92%	93.08%	1,154.19	1,031.88	1,166.60	408.83	731.53	13.83	27.22	1,077.57	49.40	8.20	13.82	7.63	3.56	2.53	2.11	0.44	4.58	3.18	2.22	3.35	2.10	0.62	0.18	1.42	23.41	17.58	24.00
BRAC	BRAC Bank Limited	4.05	24.98%	75.02%	39.11%	20.31%	40.57%	45.05%	39.74%	15.21%	30.14%	69.86%	26.38%	10.71%	62.91%	66.61%	10.55%	22.84%	38.07%	61.93%	91.85%	8.15%	0.00%	22.92%	77.08%	301.96	381.22	282.41	118.11	61.34	122.52	136.04	120.00	45.92	10.68	16.26	9.30	2.82	1.14	6.72	7.11	1.13	2.44	80.44	154.78	62.10	73.88	6.55	0.00	18.64	21.59	17.91
DBBL	Dutch-Bangla Bank Limited	4.37	24.09%	75.91%	59.89%	40.11%	0.00%	1.19%	90.06%	8.75%	37.31%	62.69%	57.43%	26.71%	15.87%	2.96%	64.16%	32.87%	24.34%	75.66%	70.73%	29.27%	0.00%	17.08%	82.92%	973.91	1,259.43	908.56	583.26	390.65	0.00	11.63	877.12	85.17	8.93	17.89	6.88	5.13	2.38	1.42	0.26	5.73	2.94	1.09	1.42	1.01	0.77	0.32	0.00	53.75	49.30	54.77
EBL	Eastern Bank Limited	3.50	21.33%	78.67%	67.09%	32.91%	0.00%	7.83%	73.52%	18.66%	23.51%	76.49%	78.43%	21.57%	0.00%	19.80%	39.99%	40.22%	36.40%	63.60%	92.93%	7.07%	0.00%	23.48%	76.52%	554.93	532.75	561.27	372.31	182.63	0.00	43.43	407.96	103.54	23.67	25.04	23.28	18.57	5.10	0.00	4.69	9.46	9.52	5.97	9.77	4.88	5.54	0.42	0.00	1.14	1.20	1.12
Exim	Exim Bank Limited	2.00	33.75%	66.25%	61.29%	38.71%	0.00%	2.13%	73.89%	23.98%	72.47%	27.53%	85.85%	14.15%	0.00%	2.97%	18.81%	78.22%						3.80%	96.20%	453.58	459.25	450.75	278.00	175.58	0.00	9.67	335.17	108.75	27.82	60.49	11.49	23.89	3.94	0.00	0.83	5.23	21.76	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.13	1.62
FSIBL	First Security Islami Bank Limited	11.86	1.74%	98.26%	52.75%	47.25%	0.00%	3.88%	78.77%	17.35%	5.45%	94.55%	72.84%	27.16%	0.00%	1.51%	37.16%	61.34%	0.00%	100.00%	89.06%	10.94%	0.00%	0.67%	99.33%	1,031.01	230.71	1,098.51	543.81	487.20	0.00	39.96	812.17	178.89	35.38	24.79	36.28	25.77	9.61	0.00	0.53	13.15	21.70	0.37	0.00	0.40	0.33	0.04	0.00	12.70	1.10	13.68
GlobalIslami	Global Islami Bank Limited	1.14	50.09%	49.91%	62.25%	37.45%	0.30%	7.16%	65.50%	27.33%	46.51%	53.49%	35.83%	56.46%	7.71%	17.14%	25.77%	57.09%						35.39%	64.61%	110.73	118.86	103.63	68.93	41.47	0.33	7.93	72.53	30.27	3.72	3.71	3.73	1.33	2.10	0.29	0.64	0.96	2.12	0.00	0.00	0.00	0.00	0.00	0.00	0.79	0.60	0.95
IBBL	Islami Bank Bangladesh Limited	13.98	6.62%	93.38%	56.81%	43.19%	0.00%	2.28%	57.44%	40.28%	8.43%	91.57%	60.84%	39.16%	0.00%	4.01%	44.33%	51.65%	6.94%	93.06%	63.43%	36.57%	0.00%	5.51%	94.49%	1,452.18	1,439.26	1,453.11	825.03	627.16	0.00	33.11	834.07	585.01	45.65	57.64	44.79	27.78	17.87	0.00	1.83	20.24	23.58	2.00	2.07	1.99	1.27	0.73	0.00	251.44	207.33	254.60
Jamuna	Jamuna Bank Limited	2.67	22.31%	77.69%	64.35%	35.65%	0.00%	7.54%	76.42%	16.04%	28.24%	71.76%	72.00%	28.00%	0.00%	19.63%	22.52%	57.86%	82.62%	17.38%	99.33%	0.67%	0.00%	2.63%	97.37%	255.61	209.08	273.06	164.50	91.11	0.00	19.27	195.34	41.00	10.74	11.12	10.59	7.73	3.01	0.00	2.11	2.42	6.21	1.98	5.99	0.47	1.96	0.01	0.00	5.12	0.49	6.85
Meghna	Meghna Bank Limited	1.00	68.14%	31.86%	72.07%	27.93%	0.00%	18.35%	69.94%	11.71%	69.82%	30.18%	99.55%	0.45%	0.00%	2.53%	0.49%	96.98%	71.54%	28.46%	91.33%	8.67%	0.00%			50.88	69.33	32.42	36.67	14.21	0.00	9.33	35.58	5.96	40.01	55.87	24.15	39.83	0.18	0.00	1.01	0.20	38.80	5.81	8.32	3.31	5.31	0.50	0.00	0.00	0.00	0.00
Mercantile	Mercantile Bank Limited	4.26	11.17%	88.83%	65.70%	34.30%	0.00%	3.76%	77.81%	18.42%	13.46%	86.54%	68.81%	31.19%	0.00%	8.58%	45.62%	45.80%						11.91%	88.09%	258.57	152.06	283.54	169.89	88.68	0.00	9.73	201.20	47.64	2.26	1.60	2.42	1.56	0.71	0.00	0.19	1.03	1.04	0.00	0.00	0.00	0.00	0.00	0.00	5.76	3.61	6.26
Midland	Midland Bank Limited	4.72	12.50%	87.50%	51.04%	48.96%	0.00%	2.63%	83.51%	13.86%	20.11%	79.89%	67.39%	32.61%	0.00%	6.68%	31.70%	61.62%	24.44%	75.56%	77.75%	22.25%	0.00%	11.66%	88.34%	379.21	271.22	402.08	193.55	185.66	0.00	9.96	316.69	52.56	5.72	6.58	5.54	3.85	1.87	0.00	0.38	1.81	3.53	0.25	0.35	0.23	0.19	0.06	0.00	10.42	6.96	11.16
Modhumoti	Modhumoti Bank Limited	19.45	4.40%	95.60%	17.84%	82.16%	0.00%	0.55%	44.19%	55.27%	20.44%	79.56%	24.08%	75.92%	0.00%	4.18%	70.70%	25.12%	0.00%	100.00%	98.75%	1.25%	0.00%	3.64%	96.36%	562.13	505.72	565.04	100.30	461.84	0.00	3.07	248.38	310.68	2.14	8.93	1.79	0.51	1.62	0.00	0.09	1.51	0.54	0.02	0.00	0.02	0.02	0.00	0.00	0.23	0.17	0.24
MTBL	Mutual Trust Bank Limited	2.63	23.10%	76.90%	55.71%	44.29%	0.00%	4.62%	84.56%	10.82%	37.26%	62.74%	72.03%	27.97%	0.00%	5.28%	28.62%	66.09%	61.53%	38.47%	79.88%	20.12%	0.00%	10.18%	89.82%	569.57	478.25	604.23	317.30	252.28	0.00	26.31	481.60	61.66	21.23	28.75	18.38	15.29	5.94	0.00	1.12	6.08	14.03	0.91	2.04	0.48	0.73	0.18	0.00	29.01	10.73	35.94
NRBBank	NRB Bank Limited	76.00	2.60%	97.40%	37.11%	60.88%	2.02%	2.66%	87.80%	9.54%	1.16%	98.84%	58.07%	38.32%	3.61%	5.16%	34.64%	60.20%	0.07%	99.93%	85.61%	14.39%	0.00%	1.28%	98.72%	125.84	251.75	124.18	46.70	76.61	2.54	3.35	110.48	12.01	1.88	1.69	1.88	1.09	0.72	0.07	0.10	0.65	1.13	0.19	0.01	0.19	0.16	0.03	0.00	2.45	2.42	2.45
